television_cable,wifi,seche_cheveux,monoxyde_carbone_detect,salle_sport,fer_repasser,parking_sur-place,extincteur,Climatisation,Jacuzzi,machine_laver,Capacite_accueil,NbChambres,frais_menage,Caution,frais_menage,seche_linge,cheminee_interieur,pourEnfants_famille,Piscine,NbLits,television,PrixNuitee,Latitude,Longitude
0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,49.49838115846509,44.8425751576,-0.5779117224
0,1,1,1,0,1,0,0,0,0,1,4,1,0,0,0,0,0,1,0,1,1,61.42229731963009,44.8542079424,-0.5770658891
1,1,1,0,0,1,1,1,0,0,1,4,3,65,750,65,1,0,1,0,0,1,135.02667002427796,44.8427224401,-0.6092421785
0,1,1,1,0,0,1,0,0,0,0,2,1,0,450,0,0,0,1,0,0,0,51.33702737608197,44.8591148357,-0.6147030528
0,1,1,0,0,0,0,0,0,0,0,2,1,0,300,0,0,0,0,0,0,1,58.844726374982926,44.8374019312,-0.5710496223
0,1,1,0,0,1,1,0,0,0,0,3,2,60,600,60,0,0,0,0,0,1,94.81419789845364,44.8411735382,-0.5693415881
1,1,1,0,0,1,1,1,0,0,1,2,1,30,450,30,0,0,0,0,1,1,67.46148670821401,44.8422603909,-0.5821102576
0,1,1,0,0,1,0,0,0,0,1,4,0,5,0,5,0,0,0,0,0,1,47.82922453809798,44.8538411145,-0.5711147339
0,1,0,0,0,0,1,0,0,0,1,2,1,0,600,0,0,0,1,0,0,1,56.05473739406785,44.827787283,-0.5853294213
0,1,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,1,1,43.60720249740741,44.8292891049,-0.5692408751
0,1,1,0,0,1,1,0,0,0,1,2,1,15,500,15,1,0,0,0,0,1,66.58600228034133,44.8618137907,-0.5659085111
0,1,1,0,0,0,0,0,0,0,1,6,2,15,500,15,0,0,1,0,2,0,100.42831725688171,44.8272624649,-0.571324129
0,1,1,0,0,1,0,0,0,0,1,3,1,0,0,0,1,1,1,0,0,0,58.037843072693796,44.8339729607,-0.5679916381
0,1,1,0,0,1,1,0,1,0,1,6,2,80,1500,80,0,0,1,0,0,1,150.59980039911542,44.8585209491,-0.568526617
0,1,1,1,0,0,1,0,0,0,0,1,1,0,200,0,0,0,1,0,0,0,37.148866551962975,44.8617295495,-0.6169378607
0,1,1,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,1,0,2,1,58.724946238168414,44.8404762223,-0.5495181049
0,1,1,1,0,1,0,1,0,0,1,4,1,0,0,0,1,0,1,0,2,1,74.35095330812422,44.8346879008,-0.5676207931
0,1,0,0,0,0,1,0,0,0,1,4,1,0,100,0,0,0,1,0,0,1,58.68030101655765,44.8539536344,-0.5745959518
0,1,1,0,0,1,0,0,0,0,0,2,0,25,500,25,0,0,0,0,1,1,51.73065831306001,44.8404233007,-0.5787273188
1,1,1,0,0,1,1,0,0,0,1,4,1,15,800,15,0,0,0,0,2,1,84.21655068434015,44.8463315484,-0.5648961866
0,1,0,0,0,0,0,0,0,0,1,6,2,17,280,17,1,0,0,0,2,0,105.33958649024247,44.8255454368,-0.5670140654
0,1,1,0,0,1,0,0,0,0,1,4,2,15,300,15,0,0,1,0,0,1,85.19303601306031,44.8431463765,-0.5813022209
0,1,0,0,0,0,0,0,0,0,1,5,3,50,500,50,1,0,1,0,0,1,130.57937059698637,44.8523548207,-0.578798171
1,1,1,0,0,1,0,0,0,0,1,2,0,12,200,12,0,0,1,0,2,0,33.36994621264891,44.8339121807,-0.564350861
1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,1,43.725574982169135,44.852989805,-0.5727272017
0,1,1,1,0,1,1,0,0,0,1,4,2,50,500,50,1,0,1,0,0,1,104.4440370935248,44.8469982848,-0.5474636332
0,0,0,0,0,0,0,0,0,0,0,2,1,0,1000,0,0,0,0,0,2,0,71.82161443543083,44.8465170367,-0.5806726095
0,1,0,0,0,0,0,0,0,0,1,2,1,0,150,0,0,0,0,0,0,0,44.281777364745324,44.8301339316,-0.5863947165
0,1,1,0,0,1,0,0,0,0,1,4,2,20,500,20,0,0,1,0,0,1,91.3907901809205,44.8231640098,-0.5783336808
0,1,1,0,0,1,0,0,1,0,1,6,2,30,600,30,1,0,1,0,0,0,123.71825629083938,44.8286010782,-0.565350342
0,0,0,0,0,0,0,0,0,0,0,4,1,10,0,10,0,0,1,0,0,1,69.24425902550922,44.8334115008,-0.5768628208
0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,38.29522882303994,44.8308552276,-0.560181751
0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,44.34754610515694,44.8517611798,-0.5832210204
0,1,0,0,0,0,0,0,0,0,1,2,1,7,120,7,1,0,1,0,0,0,51.93118087150652,44.8288460563,-0.5647419341
0,1,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,46.11433622985345,44.8332618559,-0.5599330833
0,1,0,0,0,0,0,0,0,0,1,2,1,30,500,30,0,0,1,0,1,1,64.00781622125345,44.8338900001,-0.5706047359
0,1,0,0,0,0,0,0,0,0,1,4,2,0,200,0,0,0,1,0,0,1,80.71477185706233,44.8456562067,-0.5800072234
0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,46.426521913254966,44.825241157,-0.5746430868
0,1,0,0,0,0,1,0,0,0,1,2,1,55,250,55,1,0,0,0,0,1,69.76875261029737,44.8371533448,-0.567974693
0,0,0,0,0,0,0,0,0,0,0,2,0,0,400,0,0,0,1,0,2,0,39.41356789230883,44.8431362167,-0.5808498749
0,1,0,0,0,1,0,0,0,0,1,2,1,0,500,0,0,0,1,0,0,1,55.82002304340038,44.8429815347,-0.5799345551
0,1,1,0,0,1,0,0,0,0,1,3,1,50,600,50,0,0,1,0,1,1,77.28415425764396,44.8318329859,-0.5783786604
0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,49.69054271117156,44.875675891,-0.5723437277
0,1,1,0,0,1,0,0,0,0,1,4,1,40,100,40,0,0,1,0,0,0,63.51244842795466,44.843457215,-0.5784650769
0,1,0,0,0,0,0,0,0,0,1,6,3,0,0,0,1,1,1,0,6,0,109.89699677249071,44.8492651784,-0.5870673028
0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,50.736300072655574,44.8361613433,-0.574444083
0,1,0,0,0,0,0,0,0,0,0,4,1,0,150,0,0,0,1,0,0,0,60.37857120347853,44.8280290937,-0.5617721453
0,1,1,0,0,1,0,0,0,0,1,6,2,50,600,50,0,0,0,0,3,1,116.72676214915711,44.8525647299,-0.5676966712
0,1,1,0,0,0,0,0,0,0,1,2,1,0,300,0,0,0,0,0,0,1,56.12494033377046,44.8437232435,-0.5807623388
0,1,0,0,0,1,1,0,0,0,0,4,1,5,200,5,0,0,1,0,0,1,62.73738872686295,44.8414869312,-0.5938864166
0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,1,71.89147202408056,44.8399695185,-0.5889527472
0,1,0,0,0,0,0,0,0,0,0,4,1,0,600,0,0,0,1,0,0,0,71.96641231506521,44.8318191558,-0.5757465085
